time_s,f_des_N,f_rfob_N,f_ati_N,f_err_N,f_joint_Nm,tau_in_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit,wq_rfob
0.810032,0.000000,-0.025827,0.552183,0.025827,0.005165,0.011966,0.001071,-0.004884,0.000720,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.820011,0.000000,-0.019779,0.552183,0.019779,0.003956,-0.008547,0.000829,-0.004884,0.000728,-0.000191,-0.025641,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.830000,0.000000,-0.026452,0.631208,0.026452,0.005290,-0.025641,0.001096,-0.122100,0.000739,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.842380,0.000000,0.005356,0.592614,-0.005356,-0.001071,-0.008547,-0.000176,-0.014652,0.000737,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.851155,0.000000,-0.017371,0.592614,0.017371,0.003474,-0.008547,0.000733,-0.004884,0.000744,-0.000191,0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.860619,0.000000,-0.025231,0.578941,0.025231,0.005046,0.011966,0.001047,-0.112332,0.000754,-0.000191,0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.871033,0.000000,0.010029,0.578941,-0.010029,-0.002006,0.001709,-0.000363,0.034188,0.000750,-0.000191,-0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.880879,0.000000,-0.024471,0.558852,0.024471,0.004894,-0.008547,0.001017,-0.024420,0.000760,-0.000191,-0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.890326,0.000000,-0.022458,0.615395,0.022458,0.004492,-0.005128,0.000936,0.034188,0.000769,-0.000191,0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.900994,0.000000,-0.027428,0.603404,0.027428,0.005486,0.022222,0.001135,-0.043956,0.000781,-0.000191,0.015385,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.910277,0.000000,0.005070,0.603404,-0.005070,-0.001014,0.015385,-0.000165,-0.053724,0.000779,-0.000191,0.008547,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.920246,0.000000,0.028680,0.586705,-0.028680,-0.005736,0.008547,-0.001109,0.004884,0.000768,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.930481,0.000000,0.018316,0.586705,-0.018316,-0.003663,-0.001709,-0.000694,-0.063492,0.000761,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.941771,0.000000,0.027538,0.567447,-0.027538,-0.005508,-0.011966,-0.001063,0.092796,0.000749,-0.000191,-0.022222,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.950328,0.000000,-0.032403,0.554449,0.032403,0.006481,-0.022222,0.001334,0.092796,0.000760,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.960429,0.000000,-0.061588,0.554449,0.061588,0.012318,-0.001709,0.002502,0.073260,0.000786,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.970153,0.000000,-0.071280,0.645206,0.071280,0.014256,-0.011966,0.002889,0.014652,0.000814,-0.000191,-0.018803,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.981014,0.000000,-0.060654,0.603698,0.060654,0.012131,-0.018803,0.002464,0.053724,0.000841,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
0.990133,0.000000,-0.069058,0.603698,0.069058,0.013812,-0.011966,0.002800,-0.073260,0.000866,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.000270,0.000000,-0.030873,0.591823,0.030873,0.006175,-0.011966,0.001273,-0.004884,0.000879,-0.000191,-0.001709,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.010064,0.000000,-0.031650,0.591823,0.031650,0.006330,-0.001709,0.001304,-0.014652,0.000892,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.022755,0.000000,-0.022302,0.563985,0.022302,0.004460,0.005128,0.000930,-0.053724,0.000904,-0.000191,-0.011966,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
1.030000,0.000000,-0.004992,0.586731,0.004992,0.000998,-0.011966,0.000238,-0.004884,0.000905,-0.000191,0.005128,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000,30.0000
