time_s,q1_rad,q2_rad,q3_rad,qdot1_rad_s,qdot2_rad_s,qdot3_rad_s,tau_meas1_Nm,tau_meas2_Nm,tau_meas3_Nm,f_des_N,f_raw_N,f_filt_N,f_err_N,xdot_des_x,xdot_des_y,xdot_des_z,qdot_des1_rad_s,qdot_des2_rad_s,qdot_des3_rad_s,q_des1_rad,q_des2_rad,q_des3_rad,kp1,kp2,kp3,kd1,kd2,kd3,m_adm,xdot_alpha,b_adm,k_adm,lpf_alpha,vel_limit
296.2550809000004,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.0146520146520146,-0.06349206349206327,-0.09279609279609247,0.04615384615384599,0.476923076923077,0.34017094017093985,8.0,8.00915241241455,8.001203588746108,-0.001203588746108153,1.730064512851832e-05,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-0.00015258627156749244,-0.00040078117774643184,0.0,0.8116994124515653,-0.7490599298485198,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.2621364000006,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.06349206349206327,-0.024420024420024333,0.004884004884004867,0.04273504273504258,0.476923076923077,0.3572649572649569,8.0,8.00915241241455,8.001998471112952,-0.001998471112951705,5.945182745038999e-06,2.3341852839386303e-05,-8.248665615075582e-05,0.0,-4.4642105430869334e-05,-0.0006035845644066748,0.0,0.8116990974791904,-0.749064188439414,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.26486060000025,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.0146520146520146,-0.0146520146520146,-0.024420024420024333,0.06324786324786302,0.43931623931623953,0.34358974358974326,8.0,8.00915241241455,8.002713865243113,-0.0027138652431126786,-4.274733400117763e-06,2.3341852839386303e-05,-8.248665615075582e-05,0.0,5.250764409233295e-05,-0.000786107612401347,0.0,0.8116992405205145,-0.7490663299537714,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.2671592000006,-0.0036240177004653873,0.7912535286488136,-0.776757457846952,-0.08302808302808273,-0.004884004884004867,0.05372405372405353,0.02564102564102555,0.43931623931623953,0.39145299145299184,8.0,8.00915241241455,8.003357719960256,-0.0033577199602561336,-1.3453948515577769e-05,2.334178503583776e-05,-8.379443848003058e-05,0.0,0.00014029762946571764,-0.0009619494746041978,0.0,0.8116995630086455,-0.7490685410908341,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.27738260000115,-0.0040054932478827965,0.7912535286488136,-0.7771389333943695,-0.14163614163614113,0.06349206349206327,-0.004884004884004867,0.03247863247863236,0.4871794871794872,0.3606837606837603,8.0,8.028770446777344,8.005898992641965,-0.0058989926419652505,-4.976718039011531e-05,2.579887746587462e-05,-8.248665615075582e-05,0.0,0.00048513291207016645,-0.0015989154985603026,0.0,0.8117045227164591,-0.749084887443543,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.29321900000105,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.024420024420024333,-0.0146520146520146,0.03418803418803407,0.04615384615384599,0.43931623931623953,0.3538461538461535,8.0,8.024301528930664,8.007739246270836,-0.007739246270835665,-7.606589093901757e-05,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0007349489551387143,-0.0020682649908917226,0.0,0.8117161616620922,-0.7491176413152445,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3103923000017,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.0146520146520146,-0.05372405372405353,-0.06349206349206327,0.0495726495726494,0.44615384615384635,0.33333333333333304,8.0,8.038216590881348,8.010786980731886,-0.010786980731886331,-0.00011960495466831279,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.00114882800029901,-0.002845852840521124,0.0,0.8117358908299904,-0.7491665139998325,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.32254600000124,-0.0036240177004653873,0.7912535286488136,-0.776757457846952,-0.024420024420024333,-0.0146520146520146,0.15140415140415087,0.05641025641025621,0.4700854700854702,0.3777777777777782,8.0,8.041078567504883,8.013816139409187,-0.01381613940918669,-0.00016285994064315715,2.334178503583776e-05,-8.379443848003058e-05,0.0,0.0015610830599029626,-0.0036313001478109736,0.0,0.8117548637651748,-0.7492106477324373,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3375517000004,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,0.073260073260073,0.05372405372405353,0.0439560439560438,0.05641025641025621,0.45299145299145316,0.384615384615385,8.0,8.023119926452637,8.014746518113531,-0.014746518113531337,-0.0001761697744060986,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0016865288964022708,-0.0038560747602677543,0.0,0.8117801713118341,-0.7492685108334642,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
296.3558436000003,-0.0036240177004653873,0.7912535286488136,-0.7771389333943695,-0.073260073260073,-0.03418803418803407,0.004884004884004867,0.04615384615384599,0.4837606837606838,0.3572649572649569,8.0,8.011027336120605,8.01437459991424,-0.014374599914239283,-0.00017085665727335496,2.3341852839386303e-05,-8.248665615075582e-05,0.0,0.0016360228069880153,-0.003761184907978637,0.0,0.811810097277417,-0.7493373100516821,10.0,25.0,15.0,1.0,1.8,1.5,0.0,1.0,70.0,2.0,0.1,1.0
