time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,tau_meas_Nm,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
1.100181,0.000000,-0.247037,-0.236796,0.236796,0.047359,0.009434,-0.024420,0.014329,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.110141,0.000000,-0.161259,-0.214135,0.214135,0.042827,0.008604,-0.063492,0.014415,-0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.122768,0.000000,-0.206941,-0.211977,0.211977,0.042395,0.008517,-0.014652,0.014522,-0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.131189,0.000000,-0.206941,-0.210466,0.210466,0.042093,0.008457,0.063492,0.014594,-0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.141666,0.000000,-0.231419,-0.216752,0.216752,0.043350,0.008632,-0.102564,0.014684,0.000191,0.046154,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.150360,0.000000,-0.231419,-0.221152,0.221152,0.044230,0.008884,0.063492,0.014761,-0.000191,0.049573,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.160000,0.000000,-0.238476,-0.226349,0.226349,0.045270,0.009016,0.034188,0.014848,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.170018,0.000000,-0.181776,-0.212977,0.212977,0.042595,0.008481,0.034188,0.014933,0.000191,0.059829,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.180333,0.000000,-0.181776,-0.203617,0.203617,0.040723,0.008107,0.063492,0.015017,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.190000,0.000000,-0.171630,-0.194021,0.194021,0.038804,0.007723,-0.073260,0.015091,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.200000,0.000000,-0.215788,-0.200551,0.200551,0.040110,0.008060,0.034188,0.015172,-0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.210187,0.000000,-0.215788,-0.205122,0.205122,0.041024,0.008167,0.014652,0.015255,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.220223,0.000000,-0.220165,-0.209635,0.209635,0.041927,0.008347,0.014652,0.015339,0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.230000,0.000000,-0.215279,-0.211328,0.211328,0.042266,0.008415,0.024420,0.015421,0.000191,0.042735,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.240630,0.000000,-0.215279,-0.212513,0.212513,0.042503,0.008462,0.043956,0.015511,0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.250584,0.000000,-0.164585,-0.198135,0.198135,0.039627,0.007887,-0.004884,0.015590,0.000191,0.063248,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.260210,0.000000,-0.192429,-0.196423,0.196423,0.039285,0.007819,-0.073260,0.015665,0.000191,0.056410,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.270226,0.000000,-0.192429,-0.195225,0.195225,0.039045,0.007847,-0.092796,0.015744,-0.000191,0.080342,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.280029,0.000000,-0.184940,-0.192139,0.192139,0.038428,0.007724,0.004884,0.015819,-0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.290746,0.000000,-0.184940,-0.189979,0.189979,0.037996,0.007561,0.043956,0.015900,0.000191,0.070085,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.300155,0.000000,-0.202046,-0.193599,0.193599,0.038720,0.007706,0.043956,0.015973,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.310508,0.000000,-0.187350,-0.191724,0.191724,0.038345,0.007631,0.034188,0.016052,0.000191,0.066667,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
1.320753,0.000000,-0.187350,-0.190412,0.190412,0.038082,0.007578,-0.102564,0.016129,0.000191,0.073504,5.000000,1.000000,5.000000,0.300000,0.3000,2.0000
