time_s,f_des_N,f_raw_N,f_filt_N,f_err_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
0.820103,0.000000,-0.426020,-0.423801,0.423801,0.084760,0.016990,0.083028,-0.000191,0.025641,5.000000,1.000000,0.500000,0.3000,2.0000
0.830159,0.000000,-0.448593,-0.431238,0.431238,0.086248,0.017288,0.024420,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.840062,0.000000,-0.448593,-0.436445,0.436445,0.087289,0.017496,-0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.850161,0.000000,-0.371001,-0.416812,0.416812,0.083362,0.016711,-0.024420,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.860223,0.000000,-0.412688,-0.415574,0.415574,0.083115,0.016661,-0.063492,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.870682,0.000000,-0.436096,-0.421731,0.421731,0.084346,0.016907,0.024420,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
0.881097,0.000000,-0.436096,-0.426041,0.426041,0.085208,0.017080,-0.034188,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.890951,0.000000,-0.446929,-0.432307,0.432307,0.086461,0.017330,-0.063492,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.900338,0.000000,-0.431443,-0.432048,0.432048,0.086410,0.017320,-0.053724,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.910242,0.000000,-0.431443,-0.431867,0.431867,0.086373,0.017313,0.004884,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.920297,0.000000,-0.397893,-0.421675,0.421675,0.084335,0.016905,-0.043956,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.930150,0.000000,-0.397893,-0.414540,0.414540,0.082908,0.016620,0.043956,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.940298,0.000000,-0.437410,-0.421401,0.421401,0.084280,0.016894,-0.053724,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
0.952033,0.000000,-0.430691,-0.424188,0.424188,0.084838,0.017006,-0.063492,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
0.961935,0.000000,-0.430691,-0.426139,0.426139,0.085228,0.017084,-0.024420,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
0.970039,0.000000,-0.448511,-0.432851,0.432851,0.086570,0.017352,-0.024420,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.980805,0.000000,-0.393758,-0.421123,0.421123,0.084225,0.016883,-0.014652,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
0.990266,0.000000,-0.393758,-0.412913,0.412913,0.082583,0.016555,-0.004884,-0.000191,-0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
1.000251,0.000000,-0.402848,-0.409894,0.409894,0.081979,0.016434,0.014652,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.010318,0.000000,-0.441992,-0.419523,0.419523,0.083905,0.016819,-0.034188,-0.000191,-0.025641,5.000000,1.000000,0.500000,0.3000,2.0000
1.020833,0.000000,-0.441992,-0.426264,0.426264,0.085253,0.017089,-0.063492,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.030146,0.000000,-0.443439,-0.431416,0.431416,0.086283,0.017295,0.004884,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.040000,0.000000,-0.440014,-0.433995,0.433995,0.086799,0.017398,0.063492,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.050132,0.000000,-0.440014,-0.435801,0.435801,0.087160,0.017470,0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.060218,0.000000,-0.365196,-0.414620,0.414620,0.082924,0.016623,-0.073260,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.070344,0.000000,-0.365196,-0.399792,0.399792,0.079958,0.016030,0.004884,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
1.080170,0.000000,-0.427577,-0.408128,0.408128,0.081626,0.016363,-0.043956,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.090128,0.000000,-0.439335,-0.417490,0.417490,0.083498,0.016738,0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.100587,0.000000,-0.439335,-0.424043,0.424043,0.084809,0.017000,0.170940,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.110482,0.000000,-0.453048,-0.432745,0.432745,0.086549,0.017348,-0.073260,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.120549,0.000000,-0.404970,-0.424412,0.424412,0.084882,0.017015,0.053724,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.131857,0.000000,-0.404970,-0.418580,0.418580,0.083716,0.016781,0.053724,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.140751,0.000000,-0.415821,-0.417752,0.417752,0.083550,0.016748,-0.024420,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.150652,0.000000,-0.443191,-0.425384,0.425384,0.085077,0.017053,0.034188,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.160000,0.000000,-0.443191,-0.430726,0.430726,0.086145,0.017267,-0.063492,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.170073,0.000000,-0.446813,-0.435552,0.435552,0.087110,0.017460,0.063492,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.180078,0.000000,-0.464044,-0.444099,0.444099,0.088820,0.017802,-0.034188,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.192067,0.000000,-0.464044,-0.450083,0.450083,0.090017,0.018041,-0.024420,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.200353,0.000000,-0.381861,-0.429616,0.429616,0.085923,0.017223,0.043956,-0.000191,0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.210079,0.000000,-0.381861,-0.415289,0.415289,0.083058,0.016650,0.043956,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.222057,0.000000,-0.429031,-0.419412,0.419412,0.083882,0.016815,-0.014652,-0.000191,0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.230738,0.000000,-0.441946,-0.426172,0.426172,0.085234,0.017085,0.014652,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.241025,0.000000,-0.441946,-0.430904,0.430904,0.086181,0.017274,-0.034188,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.250122,0.000000,-0.445759,-0.435361,0.435361,0.087072,0.017453,-0.004884,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.260075,0.000000,-0.406809,-0.426795,0.426795,0.085359,0.017110,0.043956,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.270054,0.000000,-0.406809,-0.420799,0.420799,0.084160,0.016870,-0.043956,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.280312,0.000000,-0.412742,-0.418382,0.418382,0.083676,0.016773,-0.024420,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.290236,0.000000,-0.437909,-0.424240,0.424240,0.084848,0.017008,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.301216,0.000000,-0.437909,-0.428341,0.428341,0.085668,0.017172,0.004884,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.310322,0.000000,-0.446244,-0.433712,0.433712,0.086742,0.017387,0.053724,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
