time_s,f_raw_N,f_filt_N,f_joint_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_rad,tau_meas_Nm,b_adm,k_spring,kd_motor,lpf_alpha,vel_limit
1.250129,-0.189421,-0.301830,-0.060366,-0.012035,-0.024420,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
1.260000,-0.189421,-0.268108,-0.053622,-0.010686,0.004884,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.270000,-0.216012,-0.252479,-0.050496,-0.010061,-0.014652,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.280600,-0.281353,-0.261141,-0.052228,-0.010407,-0.024420,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.290328,-0.281353,-0.267205,-0.053441,-0.010650,-0.122100,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.300969,-0.570199,-0.358103,-0.071621,-0.014286,0.102564,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.310000,-0.570199,-0.421732,-0.084346,-0.016831,-0.024420,-0.000191,-0.018803,5.000000,1.000000,0.500000,0.3000,2.0000
1.320254,-0.200604,-0.355393,-0.071079,-0.014178,-0.034188,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.330000,-0.158004,-0.296177,-0.059235,-0.011809,-0.063492,-0.000191,-0.025641,5.000000,1.000000,0.500000,0.3000,2.0000
1.340000,-0.158004,-0.254725,-0.050945,-0.010151,0.004884,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.350000,-0.218921,-0.243984,-0.048797,-0.009721,-0.053724,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.360000,-0.574600,-0.343169,-0.068634,-0.013689,-0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.373277,-0.574600,-0.412598,-0.082520,-0.016466,-0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.380140,-0.303711,-0.379932,-0.075986,-0.015159,0.053724,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.390101,-0.187129,-0.322091,-0.064418,-0.012845,-0.083028,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.401019,-0.187129,-0.281602,-0.056320,-0.011226,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.410065,-0.176815,-0.250166,-0.050033,-0.009969,0.092796,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.420106,-0.251277,-0.250500,-0.050100,-0.009982,0.004884,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.430250,-0.251277,-0.250733,-0.050147,-0.009991,0.024420,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.440001,-0.591105,-0.352845,-0.070569,-0.014076,0.043956,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.450253,-0.591105,-0.424323,-0.084865,-0.016935,0.024420,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.460000,-0.269326,-0.377824,-0.075565,-0.015075,-0.063492,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.470000,-0.170927,-0.315755,-0.063151,-0.012592,0.014652,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.482887,-0.170927,-0.272306,-0.054461,-0.010854,0.063492,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.492938,-0.214615,-0.254999,-0.051000,-0.010162,-0.034188,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.502537,-0.475138,-0.321041,-0.064208,-0.012803,0.053724,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.510107,-0.475138,-0.367270,-0.073454,-0.014653,0.034188,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
1.521592,-0.353660,-0.363187,-0.072637,-0.014489,0.024420,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.530851,-0.160007,-0.302233,-0.060447,-0.012051,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.540139,-0.160007,-0.259565,-0.051913,-0.010344,-0.014652,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.550160,-0.197688,-0.241002,-0.048200,-0.009602,-0.053724,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.560020,-0.197688,-0.228008,-0.045602,-0.009082,0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.570000,-0.202551,-0.220371,-0.044074,-0.008777,0.034188,-0.000191,-0.022222,5.000000,1.000000,0.500000,0.3000,2.0000
1.580057,-0.598851,-0.333915,-0.066783,-0.013318,0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.590689,-0.190073,-0.290762,-0.058152,-0.011592,0.004884,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.601603,-0.190073,-0.260555,-0.052111,-0.010384,0.141636,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.610298,-0.156842,-0.229441,-0.045888,-0.009140,-0.034188,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.620301,-0.214124,-0.224846,-0.044969,-0.008956,-0.014652,-0.000191,0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.631282,-0.214124,-0.221629,-0.044326,-0.008827,0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.640282,-0.352602,-0.260921,-0.052184,-0.010399,0.004884,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.650485,-0.481227,-0.327013,-0.065403,-0.013042,-0.092796,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.661081,-0.481227,-0.373277,-0.074655,-0.014893,-0.024420,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.671085,-0.229662,-0.330192,-0.066038,-0.013170,0.043956,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.680000,-0.229662,-0.300033,-0.060007,-0.011963,-0.092796,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.692600,-0.129066,-0.248743,-0.049749,-0.009912,0.122100,-0.000191,-0.029060,5.000000,1.000000,0.500000,0.3000,2.0000
1.701257,-0.233014,-0.244024,-0.048805,-0.009723,-0.102564,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.710286,-0.233014,-0.240721,-0.048144,-0.009591,-0.043956,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.720301,-0.590400,-0.345625,-0.069125,-0.013787,-0.034188,-0.000191,-0.025641,5.000000,1.000000,0.500000,0.3000,2.0000
1.730002,-0.590400,-0.419057,-0.083811,-0.016724,-0.073260,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.740000,-0.195037,-0.351851,-0.070370,-0.014036,0.004884,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.751949,-0.186923,-0.302373,-0.060475,-0.012057,0.073260,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.760642,-0.186923,-0.267738,-0.053548,-0.010671,-0.014652,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.770693,-0.170942,-0.238699,-0.047740,-0.009510,0.063492,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.780837,-0.275158,-0.249637,-0.049927,-0.009947,-0.034188,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.790151,-0.275158,-0.257293,-0.051459,-0.010254,-0.014652,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.800240,-0.534527,-0.340463,-0.068093,-0.013580,-0.073260,-0.000191,-0.008547,5.000000,1.000000,0.500000,0.3000,2.0000
1.810305,-0.148987,-0.283020,-0.056604,-0.011283,-0.073260,-0.000191,-0.015385,5.000000,1.000000,0.500000,0.3000,2.0000
1.822006,-0.148987,-0.242810,-0.048562,-0.009674,0.014652,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.830214,-0.160122,-0.218004,-0.043601,-0.008682,-0.034188,-0.000191,0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.840985,-0.170769,-0.203833,-0.040767,-0.008115,-0.063492,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.850022,-0.170769,-0.193914,-0.038783,-0.007718,0.004884,-0.000191,0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
1.860886,-0.595846,-0.314494,-0.062899,-0.012542,-0.131868,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.870170,-0.243550,-0.293211,-0.058642,-0.011690,0.053724,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.880264,-0.243550,-0.278313,-0.055663,-0.011094,-0.024420,-0.000191,-0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.890050,-0.193641,-0.252911,-0.050582,-0.010078,-0.083028,-0.000191,0.001709,5.000000,1.000000,0.500000,0.3000,2.0000
1.900192,-0.193641,-0.235130,-0.047026,-0.009367,0.083028,-0.000191,-0.011966,5.000000,1.000000,0.500000,0.3000,2.0000
1.910329,-0.135140,-0.205133,-0.041027,-0.008167,-0.004884,-0.000191,-0.005128,5.000000,1.000000,0.500000,0.3000,2.0000
