time_s,f_des_N,f_est_N,f_ati_N,f_err_N,tau_meas_Nm,qdot_des_rad_s,qdot_meas_rad_s,q_des_rad,q_rad,b_adm,k_spring,kp_motor,kd_motor,lpf_alpha,vel_limit
1.120295,0.000000,0.051497,-0.619039,-0.051497,0.018803,-0.002022,-0.014652,0.000480,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.132033,0.000000,0.032651,-0.651160,-0.032651,-0.008547,-0.001268,-0.063492,0.000465,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.140601,0.000000,-0.023452,-0.667025,0.023452,-0.049573,0.000976,-0.083028,0.000473,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.150098,0.000000,-0.040984,-0.667025,0.040984,-0.022222,0.001678,0.053724,0.000489,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.160107,0.000000,-0.051591,-0.603509,0.051591,-0.018803,0.002102,-0.014652,0.000510,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.170086,0.000000,-0.066914,-0.603509,0.066914,-0.025641,0.002715,0.063492,0.000537,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.180342,0.000000,-0.096266,-0.584468,0.096266,-0.042735,0.003889,-0.043956,0.000577,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.190060,0.000000,-0.071884,-0.635274,0.071884,0.005128,0.002914,-0.073260,0.000605,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.200069,0.000000,-0.052379,-0.635274,0.052379,0.005128,0.002210,-0.131868,0.000627,-0.000572,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.210308,0.000000,-0.023100,-0.669576,0.023100,0.018803,0.000962,-0.053724,0.000637,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.220291,0.000000,-0.016771,-0.640903,0.016771,0.001709,0.000709,0.043956,0.000644,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.231399,0.000000,-0.035639,-0.640903,0.035639,-0.022222,0.001464,-0.063492,0.000661,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.240465,0.000000,-0.002870,-0.562807,0.002870,0.025641,0.000153,-0.053724,0.000662,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
1.250237,0.000000,0.009670,-0.574565,-0.009670,0.011966,-0.000349,0.073260,0.000659,-0.000191,5.000000,1.000000,30.000000,2.000000,0.2000,1.0000
