time_s,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,ref1,ref2,ref3,temp1,temp2,temp3
0.700227,0.029564,0.092796,0.217094,0.075723,0.249084,1.714530,-0.166514,-0.268620,0.288889,0.055788,0.132924,-0.127237,32.0,35.0,31.0
0.710500,0.031090,0.131868,0.193162,0.078775,0.346764,1.635897,-0.168421,-0.161172,0.234188,0.057649,0.135569,-0.129489,32.0,35.0,31.0
0.720000,0.032235,0.161172,0.264957,0.081445,0.297924,1.690598,-0.170710,-0.190476,0.336752,0.059431,0.137987,-0.131525,32.0,35.0,31.0
0.730205,0.033379,0.180708,0.223932,0.084115,0.258852,1.625641,-0.172999,-0.180708,0.319658,0.061414,0.140551,-0.133663,32.0,35.0,31.0
0.740311,0.035286,0.239316,0.200000,0.087167,0.268620,1.683761,-0.175669,-0.210012,0.316239,0.063448,0.143057,-0.135728,32.0,35.0,31.0
0.750066,0.036431,0.200244,0.223932,0.089837,0.317460,1.574359,-0.177577,-0.258852,0.302564,0.065482,0.145441,-0.137671,32.0,35.0,31.0
0.760102,0.037957,0.092796,0.217094,0.092508,0.297924,1.676923,-0.179484,-0.200244,0.271795,0.067646,0.147859,-0.139618,32.0,35.0,31.0
0.770001,0.039864,0.219780,0.196581,0.094415,0.161172,1.741880,-0.181773,-0.249084,0.353846,0.069854,0.150206,-0.141486,32.0,35.0,31.0
0.780227,0.042153,0.190476,0.152137,0.097086,0.249084,1.683761,-0.183299,-0.200244,0.309402,0.072214,0.152592,-0.143361,32.0,35.0,31.0
0.790000,0.044823,0.268620,0.141880,0.098993,0.219780,1.731624,-0.185206,-0.170940,0.329915,0.074546,0.154835,-0.145099,32.0,35.0,31.0
0.800000,0.047494,0.258852,0.189744,0.100900,0.112332,1.745299,-0.186732,-0.151404,0.264957,0.077009,0.157090,-0.146825,32.0,35.0,31.0
0.810004,0.050164,0.268620,0.155556,0.102808,0.219780,1.738462,-0.188258,-0.092796,0.227350,0.079554,0.159306,-0.148498,32.0,35.0,31.0
0.820124,0.053597,0.327228,0.121368,0.105097,0.161172,1.687179,-0.189784,-0.190476,0.285470,0.082211,0.161506,-0.150136,32.0,35.0,31.0
0.830236,0.056649,0.327228,0.135043,0.107767,0.258852,1.642735,-0.191310,-0.239316,0.268376,0.084950,0.163662,-0.151719,32.0,35.0,31.0
0.840087,0.059701,0.336996,0.138462,0.110056,0.239316,1.663248,-0.192836,-0.112332,0.251282,0.087700,0.165722,-0.153210,32.0,35.0,31.0
0.850013,0.062753,0.229548,0.158974,0.112345,0.239316,1.697436,-0.194362,-0.092796,0.210256,0.090552,0.167757,-0.154664,32.0,35.0,31.0
0.860000,0.066186,0.356532,0.162393,0.114633,0.278388,1.635897,-0.195506,-0.161172,0.285470,0.093506,0.169764,-0.156078,32.0,35.0,31.0
0.870279,0.069619,0.327228,0.138462,0.116541,0.161172,1.694017,-0.197032,-0.122100,0.309402,0.096633,0.171786,-0.157484,32.0,35.0,31.0
0.880075,0.072671,0.239316,0.176068,0.118448,0.151404,1.680342,-0.198177,-0.210012,0.244444,0.099696,0.173673,-0.158779,32.0,35.0,31.0
