time_s,f_des_N,f_est_N,f_ati_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,motor_kp,motor_kd
1.280633,0.000000,-0.025641,-0.043543,0.000000,-0.005128,-0.000191,-0.083028,5.0000,0.1000
1.290159,0.000000,-0.008547,-0.048258,0.000000,-0.001709,-0.000191,0.073260,5.0000,0.1000
1.300319,0.000000,-0.025641,-0.054301,0.000000,-0.005128,-0.000191,0.122100,5.0000,0.1000
1.310345,0.000000,-0.008547,-0.054301,0.000000,-0.001709,-0.000191,-0.004884,5.0000,0.1000
1.320000,0.000000,-0.059829,-0.026070,0.000000,-0.011966,-0.000191,-0.004884,5.0000,0.1000
1.330000,0.000000,0.008547,-0.026070,0.000000,0.001709,-0.000191,0.043956,5.0000,0.1000
1.341351,0.000000,0.008547,-0.047191,0.000000,0.001709,-0.000191,0.024420,5.0000,0.1000
1.350050,0.000000,0.008547,-0.047191,0.000000,0.001709,-0.000191,0.131868,5.0000,0.1000
1.360526,0.000000,-0.042735,-0.052711,0.000000,-0.008547,-0.000191,0.043956,5.0000,0.1000
1.370382,0.000000,-0.008547,-0.052711,0.000000,-0.001709,-0.000191,-0.043956,5.0000,0.1000
1.380634,0.000000,-0.042735,-0.039775,0.000000,-0.008547,-0.000191,-0.043956,5.0000,0.1000
1.390000,0.000000,-0.025641,-0.039775,0.000000,-0.005128,-0.000191,0.004884,5.0000,0.1000
1.400034,0.000000,-0.008547,-0.022295,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
1.413140,0.000000,-0.042735,-0.039433,0.000000,-0.008547,-0.000191,-0.092796,5.0000,0.1000
1.420509,0.000000,-0.008547,-0.039433,0.000000,-0.001709,-0.000191,-0.083028,5.0000,0.1000
1.431348,0.000000,-0.025641,-0.042252,0.000000,-0.005128,-0.000191,-0.024420,5.0000,0.1000
1.440958,0.000000,-0.042735,-0.056228,0.000000,-0.008547,-0.000191,-0.004884,5.0000,0.1000
1.450570,0.000000,-0.008547,-0.056228,0.000000,-0.001709,-0.000191,-0.053724,5.0000,0.1000
1.460000,0.000000,-0.008547,-0.026021,0.000000,-0.001709,-0.000191,-0.063492,5.0000,0.1000
1.470309,0.000000,-0.025641,-0.026021,0.000000,-0.005128,-0.000191,-0.063492,5.0000,0.1000
1.480260,0.000000,-0.008547,-0.028290,0.000000,-0.001709,-0.000191,0.014652,5.0000,0.1000
1.490638,0.000000,-0.042735,-0.040927,0.000000,-0.008547,-0.000191,0.004884,5.0000,0.1000
