time_s,f_des_N,f_raw_N,f_filt_N,tau_cmd_Nm,tau_meas_Nm,pos_rad,vel_rad_s,accel_rad_s2,kp,ki,kd_f,lpf_alpha
1.050014,0.000000,-0.012165,-0.015802,0.000000,0.042735,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
1.060824,0.000000,-0.024654,-0.018458,0.000000,0.032479,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.070111,0.000000,-0.024654,-0.020317,0.000000,0.046154,-0.000191,0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
1.080068,0.000000,-0.036660,-0.025220,0.000000,0.042735,-0.000191,-0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.090043,0.000000,-0.025735,-0.025374,0.000000,0.052991,-0.000191,-0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
1.101948,0.000000,-0.025735,-0.025483,0.000000,0.052991,-0.000191,-0.063492,0.000000,0.000000,0.000000,0.000000,0.3000
1.110109,0.000000,0.000063,-0.017819,0.000000,0.052991,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.120123,0.000000,-0.023410,-0.019496,0.000000,0.052991,-0.000191,-0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.130306,0.000000,-0.023410,-0.020670,0.000000,0.039316,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.140393,0.000000,-0.026976,-0.022562,0.000000,0.042735,-0.000191,-0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
1.150270,0.000000,-0.035666,-0.026493,0.000000,0.035897,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.160308,0.000000,-0.035666,-0.029245,0.000000,0.042735,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.170077,0.000000,-0.008876,-0.023134,0.000000,0.039316,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.180014,0.000000,-0.008876,-0.018857,0.000000,0.039316,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.190000,0.000000,-0.008598,-0.015779,0.000000,0.056410,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.200150,0.000000,-0.023689,-0.018152,0.000000,0.046154,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
1.210317,0.000000,-0.023689,-0.019813,0.000000,0.032479,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.220227,0.000000,-0.032064,-0.023488,0.000000,0.059829,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.230000,0.000000,-0.026574,-0.024414,0.000000,0.056410,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
1.240000,0.000000,-0.026574,-0.025062,0.000000,0.063248,-0.000191,0.004884,0.000000,0.000000,0.000000,0.000000,0.3000
1.250144,0.000000,0.000438,-0.017412,0.000000,0.066667,-0.000191,-0.034188,0.000000,0.000000,0.000000,0.000000,0.3000
1.260163,0.000000,-0.018507,-0.017740,0.000000,0.070085,-0.000191,0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.271539,0.000000,-0.018507,-0.017970,0.000000,0.039316,-0.000191,-0.092796,0.000000,0.000000,0.000000,0.000000,0.3000
1.280561,0.000000,-0.026687,-0.020585,0.000000,0.059829,-0.000191,0.043956,0.000000,0.000000,0.000000,0.000000,0.3000
1.290817,0.000000,-0.036076,-0.025232,0.000000,0.046154,-0.000191,0.083028,0.000000,0.000000,0.000000,0.000000,0.3000
1.300197,0.000000,-0.036076,-0.028485,0.000000,0.070085,-0.000191,-0.102564,0.000000,0.000000,0.000000,0.000000,0.3000
1.310195,0.000000,-0.014754,-0.024366,0.000000,0.032479,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.320426,0.000000,-0.014754,-0.021482,0.000000,0.076923,-0.000191,0.024420,0.000000,0.000000,0.000000,0.000000,0.3000
1.331884,0.000000,-0.005103,-0.016568,0.000000,0.049573,-0.000191,0.073260,0.000000,0.000000,0.000000,0.000000,0.3000
1.340395,0.000000,-0.022730,-0.018417,0.000000,0.049573,-0.000191,-0.014652,0.000000,0.000000,0.000000,0.000000,0.3000
1.350276,0.000000,-0.022730,-0.019711,0.000000,0.063248,0.000191,0.151404,0.000000,0.000000,0.000000,0.000000,0.3000
